Date,BGN,DKK,EUR,GBP,ISK,RSD,NOK,PLN,RON,HUF,SEK,CHF,CZK,USD,CAD,AUD,EGP,TRY,JPY,AED,IRR,ILS,SGD,KWD,CNY,HKD,INR,NZD,RUB,AZN,BYR,TMT,MDL,AMD,TJS,UZS,UAH,KZT,KGS,ZAR,BRL,QAR,KRW
01-Jan-15,1.1737,3.0739,2.2881,2.922,1.4821,1.8868,2.5362,5.3105,5.1054,0.7268,2.4151,1.9021,0.8255,1.8821,1.618,1.5369,2.635,0.812,1.572,5.1243,0.6952,4.8186,1.4222,6.4279,3.0352,2.4264,2.968,1.4716,3.3206,2.3994,1.5883,6.6039,1.2043,3.9921,3.5628,0.777,1.1936,1.0321,3.1961,1.5998,0.6965,5.1686,1.713
02-Jan-15,1.1737,3.0739,2.2881,2.922,1.4821,1.8868,2.5362,5.3105,5.1054,0.7268,2.4151,1.9021,0.8255,1.8821,1.618,1.5369,2.635,0.812,1.572,5.1243,0.6952,4.8186,1.4222,6.4279,3.0352,2.4264,2.968,1.4716,3.3206,2.3994,1.5883,6.6039,1.2043,3.9921,3.5628,0.777,1.1936,1.0321,3.1961,1.5998,0.6965,5.1686,1.713
03-Jan-15,1.1737,3.0739,2.2881,2.922,1.4821,1.8868,2.5362,5.3105,5.1054,0.7268,2.4151,1.9021,0.8255,1.8821,1.618,1.5369,2.635,0.812,1.572,5.1243,0.6952,4.8186,1.4222,6.4279,3.0352,2.4264,2.968,1.4716,3.3206,2.3994,1.5883,6.6039,1.2043,3.9921,3.5628,0.777,1.1936,1.0321,3.1961,1.5998,0.6965,5.1686,1.713
04-Jan-15,1.1737,3.0739,2.2881,2.922,1.4821,1.8868,2.5362,5.3105,5.1054,0.7268,2.4151,1.9021,0.8255,1.8821,1.618,1.5369,2.635,0.812,1.572,5.1243,0.6952,4.8186,1.4222,6.4279,3.0352,2.4264,2.968,1.4716,3.3206,2.3994,1.5883,6.6039,1.2043,3.9921,3.5628,0.777,1.1936,1.0321,3.1961,1.5998,0.6965,5.1686,1.713
05-Jan-15,1.1737,3.0739,2.2881,2.922,1.4821,1.8868,2.5362,5.3105,5.1054,0.7268,2.4151,1.9021,0.8255,1.8821,1.618,1.5369,2.635,0.812,1.572,5.1243,0.6952,4.8186,1.4222,6.4279,3.0352,2.4264,2.968,1.4716,3.3206,2.3994,1.5883,6.6039,1.2043,3.9921,3.5628,0.777,1.1936,1.0321,3.1961,1.5998,0.6965,5.1686,1.713
06-Jan-15,1.1444,3.0075,2.238,2.867,1.4536,1.8421,2.45,5.1985,4.9787,0.7007,2.3596,1.862,0.8085,1.878,1.5919,1.514,2.628,0.8008,1.5603,5.1131,0.6937,4.7574,1.4066,6.3943,3.0197,2.4215,2.9639,1.4391,3.2097,2.4068,1.5782,5.3657,1.1981,3.9579,3.5385,0.7747,1.191,1.0262,3.1887,1.6008,0.6923,5.1593,1.6927
07-Jan-15,1.146,3.0116,2.2409,2.8599,1.4554,1.8331,2.4368,5.2025,4.985,0.7015,2.3748,1.8654,0.8097,1.8831,1.5998,1.531,2.636,0.8072,1.5844,5.127,0.6956,4.7437,1.4102,6.4116,3.0312,2.4286,2.9627,1.4571,2.9599,2.4038,1.4485,5.3803,1.1843,3.9687,3.5465,0.7768,1.1919,1.0273,3.1974,1.6011,0.6961,5.1729,1.7144
08-Jan-15,1.146,3.0116,2.2409,2.8599,1.4554,1.8331,2.4368,5.2025,4.985,0.7015,2.3748,1.8654,0.8097,1.8831,1.5998,1.531,2.636,0.8072,1.5844,5.127,0.6956,4.7437,1.4102,6.4116,3.0312,2.4286,2.9627,1.4571,2.9599,2.4038,1.4485,5.3803,1.1843,3.9687,3.5465,0.7768,1.1919,1.0273,3.1974,1.6011,0.6961,5.1729,1.7144
09-Jan-15,1.1488,3.0196,2.2464,2.8732,1.4611,1.8368,2.4856,5.2285,5.008,0.7071,2.3877,1.8706,0.8059,1.9086,1.6161,1.5456,2.6703,0.8268,1.5928,5.1964,0.705,4.802,1.4266,6.4874,3.0719,2.4611,3.0426,1.4862,3.0992,2.4394,1.3993,5.4531,1.2215,4.0224,3.5939,0.7873,1.229,1.0427,3.2406,1.6393,0.7116,5.243,1.7403
10-Jan-15,1.1529,3.0308,2.2547,2.8916,1.4674,1.8368,2.4915,5.2632,5.0265,0.7101,2.3727,1.8774,0.8043,1.9088,1.6126,1.5526,2.6701,0.8295,1.6009,5.197,0.7051,4.8298,1.4274,6.4925,3.0749,2.4619,3.0597,1.4906,3.1048,2.4397,1.3782,5.4537,1.2236,4.0228,3.5833,0.7874,1.2307,1.0429,3.241,1.645,0.7171,5.2437,1.7522
11-Jan-15,1.1529,3.0308,2.2547,2.8916,1.4674,1.8368,2.4915,5.2632,5.0265,0.7101,2.3727,1.8774,0.8043,1.9088,1.6126,1.5526,2.6701,0.8295,1.6009,5.197,0.7051,4.8298,1.4274,6.4925,3.0749,2.4619,3.0597,1.4906,3.1048,2.4397,1.3782,5.4537,1.2236,4.0228,3.5833,0.7874,1.2307,1.0429,3.241,1.645,0.7171,5.2437,1.7522
12-Jan-15,1.1529,3.0308,2.2547,2.8916,1.4674,1.8368,2.4915,5.2632,5.0265,0.7101,2.3727,1.8774,0.8043,1.9088,1.6126,1.5526,2.6701,0.8295,1.6009,5.197,0.7051,4.8298,1.4274,6.4925,3.0749,2.4619,3.0597,1.4906,3.1048,2.4397,1.3782,5.4537,1.2236,4.0228,3.5833,0.7874,1.2307,1.0429,3.241,1.645,0.7171,5.2437,1.7522
13-Jan-15,1.1573,3.0419,2.2629,2.9002,1.472,1.8456,2.4803,5.294,5.0471,0.7111,2.3753,1.8844,0.7992,1.9185,1.6152,1.5665,2.6838,0.8384,1.6095,5.2234,0.7086,4.8561,1.4359,6.5189,3.0934,2.4743,3.0824,1.4903,3.0695,2.4489,1.3511,5.4814,1.1991,4.0389,3.6015,0.7914,1.2189,1.0451,3.2575,1.669,0.7289,5.27,1.7743
14-Jan-15,1.1604,3.0503,2.2692,2.9054,1.4764,1.8491,2.4964,5.3007,5.0616,0.7128,2.406,1.8898,0.7994,1.9232,1.6049,1.5651,2.6911,0.8438,1.6225,5.2362,0.7104,4.8812,1.4397,6.5393,3.1037,2.4804,3.0949,1.4886,2.9565,2.4549,1.3309,5.4949,1.1813,4.0505,3.6078,0.7933,1.24,1.0475,3.2486,1.672,0.7195,5.2829,1.7755
